Time;S1;S2;S3;S4;S5
8:30 - 9:30;\titloco{Registration and Coffee}{Centrale Hal};;;;
9:30 - 10:50;	\titloc{Emotion and Sentiment}{Kleine zaal};  \titloc{Language generation}{Leeuwzaal} ;  \titloc{Semantics}{Keizer Karel Foyer}; \titloc{IR and Knowledge Extraction}{Soci\"eteitskamer} ; \titloc{Shared Task and Discussion on Open data}{Annazaal}
9:30; \titaut{Semi-supervised emotion lexicon expansion with label propagation}{Mario Giulianelli and Daniël de Kok}; \titaut{Automating lexical simplification in Dutch}{Bram Bulte, Leen Sevens and Vincent Vandeghinste}; \titaut{Towards Wide-coverage Compositional Semantics for Dutch}{Johan Bos, Lasha Abzianidze, Hessel Haagsma and Rik van Noord}; \titaut{Lawyers that Search? Thesaurus driven legal search using custom analysis and query parsing and beyond}{Tjerk de Greef and Pieter van Boxtel}; \titaut{TBA}{TBA}
9:50; \titaut{Using common sense to detect irony on Twitter}{Cynthia Van Hee, Els Lefever and Véronique Hoste}; \titaut{Pictograph-to-Text Translation for Augmented and Alternative Communication}{Leen Sevens, Vincent Vandeghinste, Lyan Verwimp, Ineke Schuurman, Patrick Wambacq and Frank Van Eynde}; \titaut{From Topic Modeling to Concept Identification. The Added Value of Word Embeddings to Discern Semantic Coherence in Keyword Clusters}{Mathias Coeckelbergs}; \titaut{User profiling with personal graphs}{Suzan Verberne}; \titaut{TBA}{TBA}
10:10; \titaut{OMG het was zooo lekker! Can fine-grained sentiment analysis benefit from coreference resolution?}{Orphée De Clercq and Veronique Hoste}; \titaut{Content Generation in German and Dutch from Structured Data}{Andreas Madsack and Johanna Heininger}; \titaut{IDEA: Idiom Detection – an Easy Approach}{Anna Feldman, Jing Peng and Katsiaryna Aharodnik}; \titaut{Methods For Automatically Generating a Legal Thesaurus and discussing NLP in the Legal Domain}{Hugo de Vos}; \titaut{Open Data, Social Media and other User Generated Text: some topics for a discussion session}{Ineke Schuurman, Leen Sevens, Vincent Vandeghinste}
10:30; \titaut{Monitoring stance towards vaccination in Twitter messages}{Florian Kunneman, Liesbeth Mollema, Antal van den Bosch, Mattijs Lambooij, Albert Wong and Hester de Melker}; \titaut{Generating Topically Coherent Text with Recurrent Neural Networks}{Tim Van de Cruys}; \titaut{Lexical Knowledge Acquisition with Theorem Proving}{Lasha Abzianidze}; \titaut{Classifying Definitional Sentences using Multi-view Neural Network Architectures}{Subhradeep Kayal, Sameer Chivukula and Sophia Katrenko};
10:50 - 11:10; \titloco{Coffee Break}{Centrale hal};;;;
11:15 - 11:25; \titloco{Welcome}{Kleine zaal};;;;
11:25 - 11:35; \titloco{STIL Thesis Prize}{Kleine zaal};;;;
11:35 - 12:40; \titloco{Andy Way (Invited speaker)}{Kleine zaal};;;;
